,sentence,intents
0,what alarms do i have set right now,alarm_query
1,checkout today alarm of meeting,alarm_query
2,report alarm settings,alarm_query
3,see see for me the alarms that you have set tomorrow morning,alarm_query
4,is there an alarm for ten am,alarm_query
5,confirm the alarm time,alarm_query
6,show my alarms,alarm_query
7,at what time have you set alarm for me,alarm_query
8,please list active alarms,alarm_query
9,please tell me about upcoming alarms,alarm_query
10,what alarms have i set for tomorrow,alarm_query
11,have i set any alarm for today,alarm_query
12,what alarms are upcoming,alarm_query
13,what alarms do you have set,alarm_query
14,show me all scheduled alarms,alarm_query
15,could you tell me about the alerts i have set,alarm_query
16,show me my alarms i have set,alarm_query
17,do i have any alarms for tomorrow morning,alarm_query
18,what alarm do i have set for today,alarm_query
19,what alarms have been set for me,alarm_query
20,list all set alarms,alarm_query
21,please tell me my alarms,alarm_query
22,what is the wake up time for my alarm i have set for the flight this weekend,alarm_query
23,did i set an alarm to wake up in the morning,alarm_query
24,what times do my alarms go off,alarm_query
25,are there any alarms for today,alarm_query
26,what time is my wakeup alarm set for,alarm_query
27,please read out all the alarms that are set,alarm_query
28,what time are my alarms set for,alarm_query
29,check if default alarm is set,alarm_query
30,how many alarms do i have set,alarm_query
31,are there any alarms currently set,alarm_query
32,confirm alarm for tomorrow morning,alarm_query
33,do i have an alarm set for morning flight,alarm_query
34,what's my next scheduled alarm,alarm_query
35,do i have any alarms set for tomorrow,alarm_query
36,please check alarms,alarm_query
37,what alarms do i have set,alarm_query
38,do i have an alarm set,alarm_query
39,show me the list of alarms,alarm_query
40,just to confirm you set the alarm to go off at eight hundred,alarm_query
41,did i set my house alarm,alarm_query
42,tell me my alarms,alarm_query
43,what are the next three alarms set to go off,alarm_query
44,check if alarm is set for six am,alarm_query
45,i need to set an alarm how many do i have set,alarm_query
46,is the alarm to the backdoor set and ready to go,alarm_query
47,what time do i have my alarm set for tomorrow,alarm_query
48,what's the description for the alarm at eleven am,alarm_query
49,are there any alarms set,alarm_query
50,are there any alarms set right now,alarm_query
51,are there any alarms,alarm_query
52,do i have alarms set for today,alarm_query
53,how many alarms are listed,alarm_query
54,remind me about my alarms today,alarm_query
55,list alarms,alarm_query
56,do i have alarms set before six in the morning,alarm_query
57,how many alarms do i have,alarm_query
58,just see for me the alarms that you have set today morning,alarm_query
59,what alarms are on right now,alarm_query
60,please tell about the alarms,alarm_query
61,review set alarms,alarm_query
62,is my work alarm set for tomorrow,alarm_query
63,what alarms are set,alarm_query
