,sentence,intents,clean_sentence
0,what alarms do i have set right now,alarm_query,alarm set right
1,checkout today alarm of meeting,alarm_query,checkout today alarm meet
2,report alarm settings,alarm_query,report alarm set
3,see see for me the alarms that you have set tomorrow morning,alarm_query,see see alarm set tomorrow morn
4,is there an alarm for ten am,alarm_query,alarm ten
5,confirm the alarm time,alarm_query,confirm alarm time
6,show my alarms,alarm_query,show alarm
7,at what time have you set alarm for me,alarm_query,time set alarm
8,please list active alarms,alarm_query,plea list activ alarm
9,please tell me about upcoming alarms,alarm_query,plea tell come alarm
10,what alarms have i set for tomorrow,alarm_query,alarm set tomorrow
11,have i set any alarm for today,alarm_query,set alarm today
12,what alarms are upcoming,alarm_query,alarm come
13,what alarms do you have set,alarm_query,alarm set
14,show me all scheduled alarms,alarm_query,show schedul alarm
15,could you tell me about the alerts i have set,alarm_query,could tell alert set
16,show me my alarms i have set,alarm_query,show alarm set
17,do i have any alarms for tomorrow morning,alarm_query,alarm tomorrow morn
18,what alarm do i have set for today,alarm_query,alarm set today
19,what alarms have been set for me,alarm_query,alarm set
20,list all set alarms,alarm_query,list set alarm
21,please tell me my alarms,alarm_query,plea tell alarm
22,what is the wake up time for my alarm i have set for the flight this weekend,alarm_query,wake time alarm set flight weekend
23,did i set an alarm to wake up in the morning,alarm_query,set alarm wake morn
24,what times do my alarms go off,alarm_query,time alarm go
25,are there any alarms for today,alarm_query,alarm today
26,what time is my wakeup alarm set for,alarm_query,time wake alarm set
27,please read out all the alarms that are set,alarm_query,plea read alarm set
28,what time are my alarms set for,alarm_query,time alarm set
29,check if default alarm is set,alarm_query,check default alarm set
30,how many alarms do i have set,alarm_query,mani alarm set
31,are there any alarms currently set,alarm_query,alarm current set
32,confirm alarm for tomorrow morning,alarm_query,confirm alarm tomorrow morn
33,do i have an alarm set for morning flight,alarm_query,alarm set morn flight
34,what's my next scheduled alarm,alarm_query,what '' s next schedul alarm
35,do i have any alarms set for tomorrow,alarm_query,alarm set tomorrow
36,please check alarms,alarm_query,plea check alarm
37,what alarms do i have set,alarm_query,alarm set
38,do i have an alarm set,alarm_query,alarm set
39,show me the list of alarms,alarm_query,show list alarm
40,just to confirm you set the alarm to go off at eight hundred,alarm_query,confirm set alarm go eight hundr
41,did i set my house alarm,alarm_query,set hous alarm
42,tell me my alarms,alarm_query,tell alarm
43,what are the next three alarms set to go off,alarm_query,next three alarm set go
44,check if alarm is set for six am,alarm_query,check alarm set six
45,i need to set an alarm how many do i have set,alarm_query,need set alarm mani set
46,is the alarm to the backdoor set and ready to go,alarm_query,alarm backdoor set readi go
47,what time do i have my alarm set for tomorrow,alarm_query,time alarm set tomorrow
48,what's the description for the alarm at eleven am,alarm_query,what '' s descript alarm eleven
49,are there any alarms set,alarm_query,alarm set
50,are there any alarms set right now,alarm_query,alarm set right
51,are there any alarms,alarm_query,alarm
52,do i have alarms set for today,alarm_query,alarm set today
53,how many alarms are listed,alarm_query,mani alarm list
54,remind me about my alarms today,alarm_query,remind alarm today
55,list alarms,alarm_query,list alarm
56,do i have alarms set before six in the morning,alarm_query,alarm set six morn
57,how many alarms do i have,alarm_query,mani alarm
58,just see for me the alarms that you have set today morning,alarm_query,see alarm set today morn
59,what alarms are on right now,alarm_query,alarm right
60,please tell about the alarms,alarm_query,plea tell alarm
61,review set alarms,alarm_query,review set alarm
62,is my work alarm set for tomorrow,alarm_query,work alarm set tomorrow
63,what alarms are set,alarm_query,alarm set
64,what time are my alarms,alarm_query,time alarm
65,which alarms are set in the phone,alarm_query,alarm set phone
66,is my alarm set for tomorrow morning,alarm_query,alarm set tomorrow morn
67,check if any alarm is there after five am,alarm_query,check alarm five
68,what alarms do i have set for thursday,alarm_query,alarm set thursday
69,checkout today set alarm of ten am,alarm_query,checkout today set alarm ten
70,is my school alarm set,alarm_query,school alarm set
71,what alarms do i have scheduled for tomorrow,alarm_query,alarm schedul tomorrow
72,tell me if my alarm is set for the morning,alarm_query,tell alarm set morn
73,do i have an alarm set for tomorrow,alarm_query,alarm set tomorrow
74,what alarms do i have,alarm_query,alarm
75,when was the last alarm set,alarm_query,last alarm set
76,today how many alarms do i have set,alarm_query,today mani alarm set
77,how many alarms do i have set for morning hours between six and nine am,alarm_query,mani alarm set morn hour six nine
78,what is tomorrow's alarm time set to,alarm_query,tomorrow '' s alarm time set
79,please let me know the morning alarm time for weekdays,alarm_query,plea let know morn alarm time weekday
80,can you tell me about the alarm called bed,alarm_query,tell alarm call bed
81,read me my alarms,alarm_query,read alarm
