,sentence,intents,clean_sentence
0,what alarms do i have set right now,alarm_query,alarms set right
1,checkout today alarm of meeting,alarm_query,checkout today alarm meeting
2,report alarm settings,alarm_query,report alarm settings
3,see see for me the alarms that you have set tomorrow morning,alarm_query,see see alarms set tomorrow morning
4,is there an alarm for ten am,alarm_query,alarm ten
5,confirm the alarm time,alarm_query,confirm alarm time
6,show my alarms,alarm_query,show alarms
7,at what time have you set alarm for me,alarm_query,time set alarm
8,please list active alarms,alarm_query,please list active alarms
9,please tell me about upcoming alarms,alarm_query,please tell upcoming alarms
10,what alarms have i set for tomorrow,alarm_query,alarms set tomorrow
11,have i set any alarm for today,alarm_query,set alarm today
12,what alarms are upcoming,alarm_query,alarms upcoming
13,what alarms do you have set,alarm_query,alarms set
14,show me all scheduled alarms,alarm_query,show scheduled alarms
15,could you tell me about the alerts i have set,alarm_query,could tell alerts set
16,show me my alarms i have set,alarm_query,show alarms set
17,do i have any alarms for tomorrow morning,alarm_query,alarms tomorrow morning
18,what alarm do i have set for today,alarm_query,alarm set today
19,what alarms have been set for me,alarm_query,alarms set
20,list all set alarms,alarm_query,list set alarms
21,please tell me my alarms,alarm_query,please tell alarms
22,what is the wake up time for my alarm i have set for the flight this weekend,alarm_query,wake time alarm set flight weekend
23,did i set an alarm to wake up in the morning,alarm_query,set alarm wake morning
24,what times do my alarms go off,alarm_query,times alarms go
25,are there any alarms for today,alarm_query,alarms today
26,what time is my wakeup alarm set for,alarm_query,time wakeup alarm set
27,please read out all the alarms that are set,alarm_query,please read alarms set
28,what time are my alarms set for,alarm_query,time alarms set
29,check if default alarm is set,alarm_query,check default alarm set
30,how many alarms do i have set,alarm_query,many alarms set
31,are there any alarms currently set,alarm_query,alarms currently set
32,confirm alarm for tomorrow morning,alarm_query,confirm alarm tomorrow morning
33,do i have an alarm set for morning flight,alarm_query,alarm set morning flight
34,what's my next scheduled alarm,alarm_query,what's next scheduled alarm
35,do i have any alarms set for tomorrow,alarm_query,alarms set tomorrow
36,please check alarms,alarm_query,please check alarms
37,what alarms do i have set,alarm_query,alarms set
38,do i have an alarm set,alarm_query,alarm set
39,show me the list of alarms,alarm_query,show list alarms
40,just to confirm you set the alarm to go off at eight hundred,alarm_query,confirm set alarm go eight hundred
41,did i set my house alarm,alarm_query,set house alarm
42,tell me my alarms,alarm_query,tell alarms
43,what are the next three alarms set to go off,alarm_query,next three alarms set go
44,check if alarm is set for six am,alarm_query,check alarm set six
45,i need to set an alarm how many do i have set,alarm_query,need set alarm many set
46,is the alarm to the backdoor set and ready to go,alarm_query,alarm backdoor set ready go
47,what time do i have my alarm set for tomorrow,alarm_query,time alarm set tomorrow
